id,isResult,side,h,a,goals,xG,datetime,forecast,result
22004,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '1', 'a': '4'}","{'h': '0.959108', 'a': '4.05865'}",2023-11-06 20:00:00,"{'w': 0.04237291972563763, 'd': 0.07140562950880172, 'l': 0.8861979584180467}",l
22014,True,a,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '2', 'a': '1'}","{'h': '1.90884', 'a': '0.432315'}",2023-11-11 12:30:00,"{'w': 0.7316328392497214, 'd': 0.1935787970610301, 'l': 0.07478836159627561}",l
22024,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '1', 'a': '2'}","{'h': '2.22542', 'a': '2.39755'}",2023-11-26 14:00:00,"{'w': 0.3735629360331832, 'd': 0.19086161422409528, 'l': 0.4355753935629443}",l
22031,True,a,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '3', 'a': '3'}","{'h': '2.90729', 'a': '0.433077'}",2023-12-03 16:30:00,"{'w': 0.8708771278974599, 'd': 0.09619149724556421, 'l': 0.032930918713566654}",d
22041,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '1', 'a': '2'}","{'h': '1.61268', 'a': '1.7409'}",2023-12-07 20:15:00,"{'w': 0.3593441883533979, 'd': 0.2277131638782417, 'l': 0.4129426469337319}",l
22053,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '4', 'a': '1'}","{'h': '4.40118', 'a': '1.61368'}",2023-12-10 16:30:00,"{'w': 0.8286471044159285, 'd': 0.08943874703701556, 'l': 0.08185634053932678}",w
22063,True,a,"{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '0', 'a': '2'}","{'h': '1.70569', 'a': '1.60738'}",2023-12-15 20:00:00,"{'w': 0.4059366332131681, 'd': 0.2294596842323315, 'l': 0.3646036818766291}",w
22071,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '2', 'a': '1'}","{'h': '1.57527', 'a': '1.98385'}",2023-12-23 15:00:00,"{'w': 0.3091196363178092, 'd': 0.21640102137097497, 'l': 0.47447933867131264}",w
22078,True,a,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '4', 'a': '2'}","{'h': '3.84702', 'a': '2.06955'}",2023-12-28 19:30:00,"{'w': 0.6995246509066341, 'd': 0.13096501659743864, 'l': 0.1694975416053266}",l
22092,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '3', 'a': '1'}","{'h': '2.15027', 'a': '1.58229'}",2023-12-31 14:00:00,"{'w': 0.5082905713953717, 'd': 0.2071967217720695, 'l': 0.28451269668254286}",w
